ID,Level Description,Category,DisplayName,InternalName?,Summary,Full_Description,CTAButtonTitle,Action_Provider,CTAURL,DDMType,EvidenceBasisURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Applicable Wellness Levels (separated by comma),Applicable Pillar (pillar name separated by comma),Score,Maintenance Ref,Region,Postcode,Free_paid,retrocession,Frequency,Periodicity,Total Iterations,Topic,Ml-MOT Flag
2185,Inner circle,Expand,Days out,2185,Get out and about exploring with your family.,"Embark on exciting outings with your family, exploring new places and creating cherished memories together.",Visit site,,https://www.halixia.com/ma/days-out-2185,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",1,Community,2,2186,,,Free,,,,,"Something New,Travel",Y
2186,Inner circle,Expand,Have a day out,2186,Get out and see something new with your family.,"Make regular family outings a priority, fostering exploration, connection, and the joy of discovering new experiences together.",Sign me up,Almost the Weekend,https://almosttheweekend.com/activities-to-enjoy-with-your-family-this-weekend/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",1,Community,1,,,,Free,,annually,2 years,2,,
2187,Money basics,Plan,Borrowing calculator,2187,How much mortgage you could get to buy your first home.,This simple calculator based on income multiples should give you an idea of how much you could borrow to get on the property ladder.,,MoneySavingExpert,https://www.moneysavingexpert.com/mortgages/how-much-mortgage-borrowing/,Diagnostic,,0-99,"Male, Female, Non-conforming",Working,1,Wealth,1,,,,Free,,,,,Buy a House,Y
2188,Money basics,Plan,Homebuyers guide,2188,Step by step guide to buying your first home.,Find out what you need to do to get on the property ladder. Because buying a home can be daunting at any age.,,,https://www.halixia.com/ma/homebuyers-guide-2188,Development,,0-99,"Male, Female, Non-conforming",Working,1,Wealth,1,,,,Free,,,,,Buy a House,Y
2189,Savings & protection,Plan,Homebuyers help,2189,Guide to schemes to help you buy a home.,"Find out what support is available to help you buy your first home, including government schemes, private initiatives and mortgage solutions. Because buying your first home can be expensive.",,,https://www.halixia.com/ma/homebuyers-help-2189,Development,,0-99,"Male, Female, Non-conforming",Working,2,Wealth,1,,,,Free,,,,,Buy a House,Y
2190,Money basics,Manage,Get ready to buy,2190,Sort out your finances ahead of applying for a mortgage.,There are plenty of simple things you can do ahead of applying for a mortgage to increase your chances of getting a better deal.,,,https://www.halixia.com/ma/get-ready-to-buy-2190,Development,,0-99,"Male, Female, Non-conforming",Working,1,Wealth,3,2191,,,Free,,,,,Buy a House,Y
2191,Money basics,Manage,Get mortgage ready,2191,Sort out your finances ahead of applying for a mortgage.,Spend time each month putting place simple things that will help you get your finances in shape ahead of applying for a mortgage.,,MoneySavingExpert,https://www.moneysavingexpert.com/mortgages/boost-mortgage-chances/,Maintenance,,0-99,"Male, Female, Non-conforming",Working,1,Wealth,1,,,,Free,,monthly,1 year,12,,
2192,Savings & protection,Manage,5% mortgage scheme,2192,Find out about the government's Mortgage Guarantee Scheme.,Find out if the government's Mortgage Guarantee Scheme could help you get on the property ladder with only a 5% deposit,,,https://www.halixia.com/ma/5-mortgage-scheme-2192,Development,,0-99,"Male, Female, Non-conforming",Working,2,Wealth,2,,,,Free,,,,,Buy a House,Y
2193,Savings & protection,Manage,Save for a deposit,2193,Calculate how much you need to save for a house deposit.,Saving for the deposit to buy your first home can be tricky with everyday spending demands. Find out how much you need to save.,,MoneySavingExpert,https://www.moneysavingexpert.com/mortgages/mortgage-deposit-calculator/,Diagnostic,,0-99,"Male, Female, Non-conforming",Working,2,Wealth,1,,,,Free,,,,,Buy a House,Y
2194,Financial security,Plan,Save for a deposit,2194,Find out how to save for a deposit to buy your own home.,Saving for the deposit to buy your first home can be tricky with everyday spending demands. Once you know how much you need to save set a plan to achieve it with some of these ideas.,,,https://www.halixia.com/ma/save-for-a-deposit-2194,Development,,0-99,"Male, Female, Non-conforming",Working,3,Wealth,2,2195,,,Free,,,,,Buy a House,Y
2195,Financial security,Plan,Save for a deposit,2195,Start setting money aside for a house deposit.,Saving for your first house deposit can feel very daunting but very rewarding.,,MoneySavingExpert,https://www.moneysavingexpert.com/mortgages/mortgage-deposit-calculator/,Maintenance,,0-99,"Male, Female, Non-conforming",Working,3,Wealth,1,,,,Free,,monthly,2 years,24,,
2196,Financial security,Manage,Overpayment calculator,2196,Find out how much you could overpay on your mortgage.,Overpaying your mortgage can provide a great cash boost by reducing your debt and making savings in interest payments.,,MoneySavingExpert,https://www.moneysavingexpert.com/mortgages/mortgage-overpayment-calculator/,Diagnostic,,0-99,"Male, Female, Non-conforming","Working, Retired",3,Wealth,1,,,,Free,,,,,Pay off Mortgage,Y
2197,Financial security,Manage,Overpay your mortgage,2197,Get mortgage free sooner by overpaying your mortgage.,Overpaying your mortgage can provide a great cash boost by reducing your debt and making savings in interest payments.,,,https://www.halixia.com/ma/overpay-your-mortgage-2197,Development,,0-99,"Male, Female, Non-conforming","Working, Retired",3,Wealth,3,2198,,,Free,,,,,Pay off Mortgage,Y
2198,Financial security,Manage,Overpay your mortgage,2198,Start making regular overpayments on your mortgage.,Overpaying your mortgage is a great cash boost and good habit that your future self will thank you for!,,MoneySavingExpert,https://www.moneysavingexpert.com/mortgages/mortgage-overpayment-calculator/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Retired",3,Wealth,1,,,,Free,,monthly,2 years,24,,
2199,Financial independence,Protect,Offset Mortgage,2199,Find out if this type of mortgage could save you money.,Learn all about offset mortgages and the personal circumstances that may make them suitable for you and help save on interest payments and get mortgage free sooner.,,,https://www.halixia.com/ma/offset-mortgage-2199,Development,,0-99,"Male, Female, Non-conforming","Working, Retired",4,Wealth,2,2200,,,Free,,,,,Pay off Mortgage,Y
2200,Financial independence,Protect,Offset Mortgage,2200,Take out an offset mortgage.,Make your savings work harder and reduce your mortgage borrowing to help get mortgage free sooner.,,Compare the Market,https://www.comparethemarket.com/mortgages/content/offset-mortgages/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Retired",4,Wealth,1,,,,Free,,monthly,2 years,24,,
2201,Savings & protection,Protect,Remortgage,2201,Find out if you could save by remortgaging.,Getting the right remortgage deal could save you money and help free up income or get you mortgage free sooner.,,Mortgage Calculator,https://www.mortgagecalculator.uk/remortgage/,Diagnostic,,0-99,"Male, Female, Non-conforming","Working, Retired",2,Wealth,1,,,,Free,,,,,Pay off Mortgage,Y
2202,Financial security,Protect,Remortgage,2202,Find out how to get the best remortgage deal.,Getting a good mortgage deal can add up to big savings over time. With rates rising that is getting trickier to navigate. Read up on what you need to know to get the best deal you can.,,,https://www.halixia.com/ma/remortgage-2202,Development,,0-99,"Male, Female, Non-conforming","Working, Retired",3,Wealth,3,2203,,,Free,,,,,Pay off Mortgage,Y
2203,Financial security,Protect,Remortgage,2203,Refinance your mortgage.,Get the right remortgage deal and work on building your money savviness.,,Compare the Market,https://www.comparethemarket.com/mortgages/remortgage/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Retired",3,Wealth,1,,,,Free,,weekly,6 months,24,,
2204,Money basics,Manage,Debt problem?,2204,How close are you to debt becoming a problem?,If your debts are getting out of control it can become a big problem. Check whether you need extra help in managing your debts before it's too late.,,Step Change,https://www.stepchange.org/debt-test.aspx,Diagnostic,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",1,Wealth,1,,,,Free,,,,,Manage Debt,Y
2205,Financial security,Manage,Mortgage arrears,2205,Why paying your mortgage first is key when managing debt.,"Mortgage debt needs to prioritised over other debt, like credit cards. Find out what you can do to get help and support before debt starts to stack up.",,,https://www.halixia.com/ma/mortgage-arrears-2205,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Wealth,2,,,,Free,,,,,Manage Debt,Y
2206,Financial security,Manage,Credit cards,2206,How to pay off your credit card debt.,"If you feel your credit card debt is out of control, find out what you to do to get help and support to pay your debts.",,,https://www.halixia.com/ma/credit-cards-2206,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Wealth,2,,,,Free,,,,,Manage Debt,Y
2207,Money basics,Plan,State Pension,2207,Check your State Pension forecast.,Retirement may be a while off but it's good to know what you are expected to get from the state when you retire.,,UK Government,https://www.gov.uk/check-state-pension,Diagnostic,,30-99,"Male, Female, Non-conforming","Working, Not-Working",1,Wealth,1,,,,Free,,,,,Retirement Planning,Y
2208,Money basics,Plan,State Pension,2208,Ways to boost your State Pension.,Checking your state pension forecast and making sure you are doing everything you can to boost the amount you'll get in retirement is prudent way ensure a more comfortable life after work.,,,https://www.halixia.com/ma/state-pension-2208,Development,,30-99,"Male, Female, Non-conforming","Working, Not-Working",1,Wealth,3,,,,Free,,,,,Retirement Planning,Y
2209,Savings & protection,Plan,Auto-enrolment,2209,Learn about auto-enrolment and Workplace Pensions.,"Find out what the Workplace Pension is and whether you are eligible, how much your employer should contribute and how to maximise savings and tax relief in these simple retirement plans.",,,https://www.halixia.com/ma/auto-enrolment-2209,Development,,0-99,"Male, Female, Non-conforming",Working,2,Wealth,1,,,,Free,,,,,Retirement Planning,Y
2210,Outer circle,Expand,Find a baking group,2210,Share your love of baking with others.,"Enhance or share your baking skills and connect with fellow enthusiasts by joining a baking group, sharing recipes, and fostering a passion for baking.",Visit site,,https://www.halixia.com/ma/find-a-baking-group-2210,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,2,2211,,,Free,,,,,"Hobby,Baking",Y
2211,Outer circle,Expand,Join a baking group,2211,Regularly share your love of baking with others.,"Whether it's teaching, participating or just sharing your creations, participating in a baking group will grow your skills and create connections with your community.",Sign me up,Boundless,https://www.boundless.co.uk/our-community/cooking-and-baking-group,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,1,,,,Free,,weekly,6 months,26,,
2212,Outer circle,Expand,Find a hobby group,2212,Share your favourite hobby with others.,"Engage in your hobbies by joining a hobby group, connecting with like-minded individuals, and enjoying shared interests.",Visit site,,https://www.halixia.com/ma/find-a-hobby-group-2212,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,2,2213,,,Free,,,,,"Hobby,Something New",Y
2213,Outer circle,Expand,Join a hobby group,2213,Find and join a hobby group.,"Get involved in a hobby group to nurture your passion, acquire new skills, and establish meaningful connections with fellow enthusiasts.",Sign me up,Meetup,https://www.meetup.com/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,1,,,,Free,,weekly,6 months,26,,
2214,Outer circle,Expand,Find a craft group,2214,Share your love of crafting with others.,"Explore your creativity and join a craft group, sharing techniques, ideas, and inspiration with other craft enthusiasts.",Visit site,,https://www.halixia.com/ma/find-a-craft-group-2214,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,2,2215,,,Free,,,,,"Hobby, Crafting",Y
2215,Outer circle,Expand,Join a craft group,2215,Find and join a craft group.,"Remain an active member of a craft group to fuel your creativity, expand your craft repertoire, and foster connections with fellow crafters.",Sign me up,CraftWorld,https://craftworld.com/cms/top-craft-groups-to-join-on-craftworld/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,1,,,,Free,,weekly,6 months,26,,
2216,Social/community engagement,Contribute,Stress reduction,2216,Explore Mindfulness Based Stress Reduction (MBSR).,Learn about and share the benefits of mindfulness and teach others the practices of Mindfulness-Based Stress Reduction (MBSR) for stress management and wellbeing.,Visit site,,https://www.halixia.com/ma/stress-reduction-2216,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",4,Community,3,,,,Paid,,,,,"Relax,MBSR",Y
2217,Outer circle,Expand,Time to meditate,2217,Find out about group mediation.,"Engage in group meditation for enhanced focus, relaxation, and inner peace, benefiting from the collective energy of the meditation group.",Listen,,https://www.halixia.com/ma/time-to-meditate-2217,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,2,2218,,,Free,,,,,"Relax,Meditation",Y
2218,Outer circle,Expand,Meditation group,2218,Join a mediation group for shared relaxation.,"Make group meditation a regular practice to nurture inner calm, strengthen mindfulness, and experience the collective benefits of shared meditation.",Sign me up,Insight Timer,https://insighttimer.com/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,1,,,,Free,,2 times a week,3 months,24,,
2219,Middle circle,Expand,Share the love,2219,Share your self-care with others.,"Embrace a more social form of self-care by spending quality time with friends, nurturing wellbeing, and deepening friendships.",Read,,https://www.halixia.com/ma/share-the-love-2219,Development,,0-99,Female,"Working, Not-Working, Retired",2,Community,3,2220,,,Free,,,,,"Relax,self-care",Y
2220,Middle circle,Expand,Share your self-care,2220,Have self-care days with friends or family.,Schedule regular self-care days with friends to maintain strong connections and prioritise your wellbeing.,Sign me up,BasketsGalore,https://basketsgalore.co.uk/me-time,Maintenance,,0-99,Female,"Working, Not-Working, Retired",2,Community,1,,,,Paid,,monthly,1 year,12,,
2221,Outer circle,Expand,Travelling,2221,Discover the joy of meeting new people while travelling.,"Embrace the joy of travel by meeting new people, fostering cultural exchange, and building meaningful connections.",Read,,https://www.halixia.com/ma/travelling-2221,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,3,2222,,,Free,,,,,"Something New,Travel",Y
2222,Outer circle,Expand,Meet new people,2222,Make new friends when travelling.,Continuously engage with new people during your travels to broaden your horizons and embrace the diversity of our world.,Sign me up,Barrhead Travel,https://www.barrheadtravel.co.uk/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Community,1,,,,Free,,annually,2 years,2,,
2223,Social/community engagement,Expand,Explore new cultures,2223,Take time to travel somewhere new.,"Embark on an adventure to explore a new country, immersing yourself in its culture, traditions, and history.",Do,,https://www.halixia.com/ma/explore-new-cultures-2223,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",4,Community,3,,,,Free,,,,,"Something New,Travel",Y
2224,Social/community engagement,Expand,Activity holidays,2224,Embrace your favourite activity in a new country.,Combine your passion for an activity or hobby with travel to a different country.,Visit site,,https://www.halixia.com/ma/activity-holidays-2224,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",4,Community,3,,,,Free,,,,,"Something New,Travel",Y
2225,Giving back,Expand,Volunteering holiday,2225,Combine travel with volunteering in a different country.,"Make a positive impact while travelling by embarking on a volunteering holiday, contributing to local communities and causes.",Visit site,,https://www.halixia.com/ma/volunteering-holiday-2225,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",5,Community,3,,,,Free,,,,,"Something New,Travel",Y
2226,Outer circle,Expand,Spa benefits,2226,Learn about the benefits of using a spa.,"Indulge in relaxation and rejuvenation by taking regular spa trips with friends, bonding over self-care and wellness.",Visit site,,https://www.halixia.com/ma/spa-benefits-2226,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Community,3,2227,,,Free,,,,,"Relax,Spa",Y
2227,Outer circle,Expand,Have a spa day,2227,Take time out for regular spa experience.,Take time out for a spa experience with friends to maintain strong connections and prioritise self-care together.,Sign me up,Spabreaks.com,https://click.linksynergy.com/deeplink?id=L8N3em0sP4o&mid=44372&murl=https://www.spabreaks.com/,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Community,1,,,,Paid,,every 3 months,2 years,8,,
2228,Social/community engagement,Contribute,Running for fun,2228,Not all running needs to be serious.,"Participate in a local fun run, promoting fitness, community engagement, and a sense of accomplishment.",Read,,https://www.halixia.com/ma/running-for-fun-2228,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,2,2229,,,Free,,,,,Running,Y
2229,Social/community engagement,Contribute,Do a fun run,2229,Take part in a local fun run.,"Participate in regular local fun runs to stay active, connect with your community, and enjoy the sense of achievement.",Sign me up,Findarace.com,https://findarace.com/fun-runs,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Community,1,,,,Free,,every 3 months,2 years,8,,
2230,Money basics,Protect,Carer's allowance,2230,Find out what financial support is available for carers.,If you are already a carer or could become one in the future make sure you are getting all the financial support available.,,,https://www.halixia.com/ma/carers-allowance-2230,Development,,40-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",1,Wealth,1,,,,Free,,,,,Caring,Y
2231,Preventative care,Mind,Carer support,2231,Find out what practical support is available for carers.,If you are already a carer or could become one in the future make sure you are getting all the practical support you need.,,,https://www.halixia.com/ma/carer-support-2231,Development,,40-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",2,Health,2,,,,Free,,,,,,
2232,Educational foundation,Upskill,Caring and work,2232,Find out what rights you have in work as a carer.,"If you are already a carer or could become one in the future, and want to carry on working, make sure you know your rights in balance these two important responsibilities.",,,https://www.halixia.com/ma/caring-and-work-2232,Development,,40-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",1,Learning,1,,,,Free,,,,,Caring,Y
2234,Money basics,Plan,Lifetime ISA,2234,Take the plunge and take out a Lifetime ISA.,Saving for your first house deposit can feel very daunting but very rewarding.,,Moneyfacts,https://www.halixia.com/ma/lifetime-isa-2234,Development,,18-39,"Male, Female, Non-conforming","Working, Not-Working, Retired",1,Wealth,2,,,,Free,,monthly,2 years,24,,
2235,Abundance,Plan,Bank of Mum & Dad,2235,Help a loved one get on the housing ladder.,Find out how you can help your family members buy a property for future financial security without breaking the bank or your relationship.,,,https://www.halixia.com/ma/bank-of-mum-and-dad-2235,Development,,45-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",5,Wealth,2,,,,Free,,,,,,
2236,Financial security,Plan,Cost of university,2236,Manage the costs of having a child at university.,Even if you've saved all their life there's still things you can do to help with the financial burden of having a child or two at university,,,https://www.halixia.com/ma/cost-of-university-2236,Development,,40-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Wealth,3,,,,Free,,,,,,
2237,Financial security,Plan,Planning for uni,2237,Plan ahead for your children going to university.,"If you have young children or grandchildren, it might be worth thinking about how you'll cover the cost of them going to university while they are young.",,,https://www.halixia.com/ma/planning-for-uni-2237,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Wealth,3,2238,,,Free,,,,,,
2238,Financial security,Plan,Save for university,2238,Start saving for university.,It's never too late to start regularly putting money away for your children or grandchildren's future education costs.,,Moneyfacts,https://moneyfactscompare.co.uk/savings-accounts/monthly-savings-calculator/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Wealth,1,,,,Free,,monthly,2 years,24,,
2239,Financial independence,Plan,Bank of Mum & Dad,2239,How to save to support your children's future.,Whether it's for a house purchase of other expenditure find out how you can save to help secure your children or grandchildren's future.,,,https://www.halixia.com/ma/bank-of-mum-and-dad-2239,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",4,Wealth,1,2240,,,Free,,,,,,
2240,Financial independence,Plan,Bank of Mum & Dad,2240,Start saving now to support your children's future.,Whether it's for a house purchase of other expenditure it's never too late to start regularly putting money away for your children or grandchildren's future.,,Moneyfacts,https://moneyfactscompare.co.uk/savings-accounts/monthly-savings-calculator/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",4,Wealth,1,,,,Free,,monthly,2 years,24,,
2241,Financial independence,Protect,Charitable legacy,2241,Learn about leaving a charitable gift in your will.,"Leave a lasting impact by including charitable giving in your will, supporting causes close to your heart.",,,https://www.halixia.com/ma/charitable-legacy-2241,Development,,60-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",4,Wealth,1,,,,Free,,,,,,
2242,Financial independence,Protect,Charitable giving,2242,Find out how to make the most of your charitable giving.,Optimise your charitable giving by exploring tax-efficient ways to support causes and maximise your impact.,,,https://www.halixia.com/ma/charitable-giving-2242,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",4,Wealth,2,2243,,,Free,,,,,,
2243,Financial independence,Protect,Give to charity,2243,Set up regular charitable giving and make a wider contribution to society,"Establish consistent donations, review charities regularly, stay informed about impact, assess sustainability, and make lasting contributions.",,UK Government,https://register-of-charities.charitycommission.gov.uk/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",4,Wealth,1,,,,Free,,monthly,2 years,24,,
2244,Abundance,Protect,Philanthropy,2244,Find out how to take charitable giving to the next level.,Elevate your charitable efforts by engaging in philanthropy to address broader societal issues and create lasting change.,,,https://www.halixia.com/ma/philanthropy-2244,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",5,Wealth,3,2245,,,Free,,,,,,
2245,Abundance,Protect,Impactful giving,2245,Create last change to societal issues through philanthropy,Elevate your charitable efforts by engaging in philanthropy to address broader societal issues and create lasting change.,,Philanthropy Impact,https://www.philanthropy-impact.org/guide-to-giving,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",5,Wealth,1,,,,Free,,monthly,2 years,24,,
2246,Abundance,Protect,Gift your skills,2246,Volunteer your financial skills to local charitable organisations.,"Volunteering your financial or professional skills to a charity that means something to you is a great way support these causes, participate in decision-making and drive positive change.",,,https://www.halixia.com/ma/gift-your-skills-2246,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",5,Wealth,3,2247,,,Free,,,,,,
2247,Abundance,Protect,Give your skills,2247,Volunteer your financial skills to local charitable organisations.,Actively contribute your financial expertise to the decision-making processes of a local charity.,,CharityJob,https://www.charityjob.co.uk/careeradvice/volunteers/finance-volunteer-guide/,Maintenance,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",5,Wealth,1,,,,Free,,monthly,2 years,24,,
2248,Money basics,Manage,Tips for renters,2248,Learn about how to navigate renting,Navigate the renting process successfully with essential tips and information for tenants.,,,https://www.halixia.com/ma/tips-for-renters-2248,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",1,Wealth,1,,,,Free,,,,,Day to day expenses,Y
2249,Financial security,Manage,Track your money,2249,Bring all your accounts together,"View all your financial accounts together and track spending, save more and manage your money all in one place",,,https://www.halixia.com/ma/track-your-money-2249,Development,,0-99,"Male, Female, Non-conforming","Working, Not-Working, Retired",3,Wealth,3,,,,Free,,,,,Day to day expenses,Y
3000,Diagnostic,Mind,Sexual communication,3000,Explore open and honest communication about sexual desires.,"Initiate candid conversations about sexual desires to build trust, enhance intimacy, and deepen emotional connection with your partner.",,,https://www.halixia.com/ma/sexual-communication-3000,Development,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,2,3001,,,Free,,,,,,
3001,Diagnostic,Mind,Start communicating,3001,Enhance sexual wellbeing and communication.,"Build a habit of open communication about sexual desires and boundaries, fostering a healthier and more satisfying intimate life.",,Medical News Today,https://www.medicalnewstoday.com/articles/how-to-talk-about-sex-with-your-partner#why-it-matters,Maintenance,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,1,,,,Free,,weekly,6 months,26,,
3002,Advanced brain & body fitness,Mind,Mindful intimacy,3002,Learn about cultivating a deeper connection.,Cultivate a deeper connection with your own body and enhance sexual wellbeing through mindful intimacy practices.,,,https://www.halixia.com/ma/mindful-intimacy-3002,Development,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,3003,,,Free,,,,,,
3003,Advanced brain & body fitness,Mind,Grow intimacy,3003,Strengthen sexual wellbeing.,Regularly engage in mindful intimacy practices to strengthen your connection with your body and enrich your sexual experiences.,,So Divine,https://www.awin1.com/cread.php?awinmid=28367&awinaffid=1198638&ued=https%3A%2F%2Fso-divine.com%2Fadvice,Maintenance,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,1,,,,Paid,,weekly,6 months,26,,
3004,Advanced brain & body fitness,Mind,Self-love importance,3004,Understand the significance of self-love.,"Explore the benefits of masturbation for sexual health, stress relief, and self-acceptance.",,,https://www.halixia.com/ma/self-love-importance-3004,Development,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,2,3005,,,Free,,,,,,
3005,Advanced brain & body fitness,Mind,Explore self-love,3005,Embrace self-love.,Prioritise regular moments of self-love through masturbation to nurture your wellbeing and self-confidence.,,So Divine,https://www.awin1.com/cread.php?awinmid=28367&awinaffid=1198638&ued=https%3A%2F%2Fso-divine.com%2F,Maintenance,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",4,Health,1,,,,Paid,,weekly,6 months,26,,
3006,Diagnostic,Mind,Value of intimacy,3006,Recognise the importance of intimacy.,Understand how intimacy strengthens emotional connections and relationships.,,,https://www.halixia.com/ma/value-of-intimacy-3006,Development,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,1,3007,,,Free,,,,,,
3007,Diagnostic,Mind,Be more intimate,3007,Foster emotional bonds.,"Cultivate emotional intimacy in your relationships, strengthening bonds through meaningful connections.",,So Divine,https://www.awin1.com/cread.php?awinmid=28367&awinaffid=1198638&ued=https%3A%2F%2Fso-divine.com%2F,Maintenance,,18-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Health,1,,,,Paid,,weekly,6 months,26,,
4050,Advanced brain & body fitness,Body,Air pollution,4050,Minimise harmful exposure to air pollutants.,"Take steps to limit your exposure to environmental pollutants and toxins. This includes reducing indoor air pollution, avoiding harmful chemicals, and making eco-friendly choices.",Read,,https://www.halixia.com/ma/air-pollution-4050,Development,,0-99,"Male,Female,Non-conforming","Working,Not-Working,Retired",4,Health,3,4051,,,Free,,,,,,
4051,Advanced brain & body fitness,Body,Pollutant control,4051,Continue limiting air pollutant exposure.,"Maintain your commitment to reducing exposure to environmental pollutants, safeguarding your health and contributing to a cleaner environment.",Sign me up,Sustrans,https://www.sustrans.org.uk/our-blog/get-active/2020/in-your-community/10-things-you-can-do-to-help-reduce-air-pollution-today,Maintenance,,0-99,"Male,Female,Non-conforming","Working,Not-Working,Retired",4,Health,1,,,,Free,,weekly,6 months,26,,
3010,Outer circle,Belong,Gaming community,3010,Get into gaming with an online community.,"Connect with fellow gamers, share experiences, and enhance your gaming skills.",,,https://www.halixia.com/ma/gaming-community-3010,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Community,2,3011,,,Free,,,,,"Hobby,Virtual activities",Y
3011,Outer circle,Belong,Game with others,3011,Join a gaming community.,Join and actively participate in an online gaming community to bond with like-minded individuals acros the world and enrich your gaming journey.,,Gamivo,https://www.awin1.com/cread.php?awinmid=50027&awinaffid=1198638&ued=https%3A%2F%2Fwww.gamivo.com%2F,Maintenance,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",3,Community,1,,,,Paid,,weekly,6 months,26,,
183,Optimal health,Body,Private health tests,183,Guides to choosing the best private health checks for you.,It can be hard to know whether you are choosing the right health check for you. Read these guides to help navigate the different private health checks available.,Read,,https://www.halixia.com/ma/private-health-tests-183,Development,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Health,3,,,,Paid,,,,,,
420,Optimal health,Body,Your Biological age?,420,Simple calculator to understand more about your health.,This simple calculator helps you understand more about your health. Your biological age might be higher or lower than your actual age and serves as an indication of your overall health.,Do,Biological Age,https://www.biological-age.com/#,Diagnostic,,0-99,"Male, Female, Non-Conforming","Working, Retired, Not-Working",5,Health,1,,,,Free,,,,,Disease Mgt,Y
3014,Middle circle,Contribute,Family getaway,3014,Plan a memorable multigenerational getaway.,Create lasting memories by organising a weekend escape for multiple generations to bond and enjoy quality time together.,,,https://www.halixia.com/ma/family-getaway-3014,Development,,0-99,"Male, Female, Non-Conforming","Working, Not-Working, Retired",2,Community,1,,,,Free,,,,,"F&F,Something New",Y
